system:index,admin2Name,Tot_Prec,Tot_Prec_1,Tot_Prec_2,Tot_Prec_3,Tot_Prec_4,Tot_Prec_5,Tot_Prec_6,Tot_Prec_7
00000000000000000359,Chae Hom,9776.972448455588,5637.563447920481,7269.380329068502,6846.7234089103395,11914.905865693561,4888.708607568927,1560.0178207303961,369.57699207418096
0000000000000000035a,Wang Nuea,7041.237380349403,5073.310412305944,7275.159034339121,7713.300902108583,12144.919132359824,3996.947695844314,1806.342410977681,269.6443029216692
0000000000000000035b,Thoen,13711.561042536943,9217.220398037107,8130.996458644493,7550.766041149814,15503.329535894763,7290.338525242898,1831.4851631613342,172.46125383923447
0000000000000000035c,Mae Phrik,4208.126835301343,2343.7416574188296,2149.2454726649266,2367.4781345217834,5209.22575561299,2651.6617749681654,683.6448440289963,32.851911080584806
0000000000000000035d,Mae Tha,5630.647876935847,4869.860741265614,4138.321663863985,4465.923952356972,6033.8924754834625,2565.635716627158,980.6340101690854,26.15578791253707
0000000000000000035e,Sop Prap,4166.964794650732,3369.768788976295,1954.6514020919801,2180.043688328126,3981.7451933542884,1713.8583604045946,561.3762282951204,43.29329026072633
0000000000000000035f,Hang Chat,3902.96984465543,2616.1835561789717,2653.2680964264214,2600.56914746621,4267.470960969551,2480.6288767478045,938.0309602008147,0.6583527826795391
00000000000000000360,Mueang Pan,8432.438503914254,4860.932779327093,6382.927485759588,5450.079943475537,10167.261782456375,4781.263458356671,1776.967206622105,294.9862949053446
00000000000000000381,Mueang Phayao,6214.645095877554,4552.728196750902,7322.355707039552,8345.555338240605,11644.358748290118,3186.2714443094587,1688.7354228683548,274.2866996980181
00000000000000000382,Chun,3849.666133553374,2498.569844248716,5154.8361092212135,6370.042512499116,7126.952785903331,1541.4890988406014,1353.8302329867495,122.40026684461853
00000000000000000383,Chiang Kham,6114.40149830089,3900.0535734401024,8252.731346515582,9947.07610768898,12097.926349813797,2328.1553542529846,2553.1042900534235,203.5059174995796
00000000000000000384,Chiang Muan,6024.191812348834,3828.9810040707684,6964.423120119058,5828.561557388305,8656.30107459648,2178.3709559646313,1021.3009871351953,140.05981817105234
00000000000000000385,Dok Khamtai,5629.601722580778,3792.418965149861,6706.174777661117,7281.75986362158,9273.718587888456,2256.4722009172633,1415.050338419746,171.25829483481013
00000000000000000386,Pong,14363.700930277511,8418.892228876375,16977.373749332804,17519.575865646435,23520.641579510182,4944.389314296199,3998.008096982918,389.62461876308214
