system:index,admin2Name,T_MAX,T_MAX_1,T_MAX_2,T_MAX_3,T_MAX_4,T_MAX_5,T_MAX_6,T_MAX_7,T_Min,T_Min_1,T_Min_2,T_Min_3,T_Min_4,T_Min_5,T_Min_6,T_Min_7,T_Mean,T_Mean_1,T_Mean_2,T_Mean_3,T_Mean_4,T_Mean_5,T_Mean_6,T_Mean_7
0000000000000000020f,Sida,33.92386248906456,33.660375658671086,32.17302231788637,32.001245435078964,32.57417505582176,33.5489020029704,32.41870816548668,31.58279591167676,25.300711886088074,26.090453942616804,25.58829056421918,25.09869341850283,24.905077489217145,24.521600341796898,22.164717849095688,20.743970727920555,28.772729047139507,29.13662786483767,28.335938088099184,27.903828938802103,28.086819378534972,28.41641197204592,26.869609737396264,26.01763886283428
00000000000000000210,Chaloem Phra Kiat,33.621260457799075,33.541716113988926,32.25172497293225,31.880436562800774,32.22037409906804,32.92468424258026,32.213216776087684,31.267658676576747,25.17422269738241,26.026545118249004,25.562582021519777,25.133129982326363,24.686202527474688,24.361515255250815,22.221568276225675,20.884992530217886,28.485296664030674,28.948115804921045,28.24295795827674,27.814538386248184,27.79247122501984,27.970149418927644,26.79653674139494,25.91347500149858
00000000000000000281,Mueang Amnat Charoen,33.61110155817416,32.62050688649599,30.861672936457495,30.91656983503342,32.1870121006422,33.142832786247475,33.17988702683224,31.78183839584391,25.32738717080221,25.552765061556983,25.20960414206337,24.918940040360283,24.973405688043997,24.395122429223573,22.884776926304703,20.611938280348273,28.763999014650622,28.383050621598812,27.44337972005211,27.283154668628466,27.96578280595716,28.165001947988063,27.390034902241034,25.5971284939019
00000000000000000282,Chanuman,33.16333838568795,31.955612362132374,30.1694581274893,30.485423772475325,31.902280909719053,33.2597323199503,33.509704161001984,31.428440079914534,25.108011083665257,25.185148286507822,24.90688237208948,24.7317030663584,24.894214789696008,24.24532353020963,22.770627070408267,20.319656102797587,28.411709031248428,27.945803992576874,26.999295218473964,27.038025465821928,27.825140375872863,28.12813926148261,27.410558757906667,25.22483736717992
00000000000000000283,Pathum Ratchawongsa,33.39452701144751,32.26715098184255,30.550260283455046,30.692642956688314,32.02503973340234,33.10116232009164,33.161497073703366,31.5265789918873,25.264281621055027,25.339558858720103,25.060723695300904,24.805500599694657,24.909658092922662,24.35156995985246,22.914779669141033,20.604621516422757,28.634404336838518,28.153131884620333,27.2222360762339,27.143231970166426,27.89270642598473,28.128174863542856,27.374525754413934,25.450336459504484
00000000000000000284,Phana,33.64610097847735,32.6064345415901,30.90489926805685,30.87666091021371,32.249982120289545,33.00342483819701,32.84828918457033,31.68684934200301,25.400323199103884,25.464831052293984,25.18966240377989,24.877863901175726,24.92291659486062,24.40494031719135,22.981113173540923,20.92500476243176,28.81961885340075,28.343891242532187,27.433749820484852,27.257771869734242,27.951742721258444,28.101370083678024,27.321941552255687,25.72096932487094
00000000000000000285,Senangkhanikhom,33.31530746379229,32.24644002763054,30.44449810855605,30.64037047693971,31.994943576388916,33.21758895147416,33.51646486312627,31.632238701144534,25.176786239058902,25.36848949452559,25.04604900703231,24.822093128022715,24.922732245228296,24.260158373312997,22.727756173270112,20.313384284581364,28.5244897670847,28.14535780003464,27.19922385240991,27.151740212415287,27.87891068231494,28.142375425308497,27.416691694310128,25.35671722241145
00000000000000000286,Hua Taphan,33.77303339451922,32.966909134476296,31.197088110652995,31.143831538447653,32.396674397786484,33.14837986322099,32.90592961064094,31.867823336067296,25.48200684347273,25.809933426468483,25.396202776873576,25.06162516276044,25.07149195541573,24.551750932858337,22.918423514660514,20.8410940598299,28.929437564802782,28.66233349458673,27.73378017095874,27.46537423593029,28.0922021107615,28.237037150065127,27.327051391601586,25.822663696555036
00000000000000000287,Lue Amnat,33.695300100821065,32.79201053195532,31.050715490270573,30.986279737684484,32.32318779839412,33.057799976490195,32.88662994384769,31.764285019020647,25.435456192581768,25.637322116427974,25.286704372829888,24.958727349175373,24.99484356915512,24.466609779640507,22.935487523961974,20.83337227815119,28.86737722891351,28.505105884693315,27.58458673547818,27.350535278320343,28.016337031611716,28.15326789008249,27.318767768012176,25.735532892763253
0000000000000000039c,Mueang Mae Hong Son,32.529190328517586,29.010195950617792,28.61373157737867,27.86243884873057,29.790349455802698,29.151684731861323,29.680217642582992,28.60033963556589,22.11072654755676,22.460237206142757,22.353050455325317,22.2404725484162,21.930279180055045,21.032669327375437,18.146737080235656,16.2587054734682,26.603950410879207,24.996519130709963,24.796930221923642,24.411278380590424,25.10017727961515,24.376675445329482,23.186800024191957,21.820295278125762
