admin2Name,admin2Pcod,Year,T_MAX,T_MAX_1,T_MAX_2,T_MAX_3,T_MAX_4,T_MAX_5,T_MAX_6,T_MAX_7,F_T_Max,T_Min,T_Min_1,T_Min_2,T_Min_3,T_Min_4,T_Min_5,T_Min_6,T_Min_7,F_T_Min,T_Mean,T_Mean_1,T_Mean_2,T_Mean_3,T_Mean_4,T_Mean_5,T_Mean_6,T_Mean_7,F_T_Mean
Chom Phra,TH3204,2013,33.33085845640338,31.712937754050085,31.46143753300226,30.55785222108338,29.394239517738097,29.209546874766165,29.722045803435485,26.721756242851395,30.263834300416278,25.57072553232714,24.77689892852902,24.50872392033254,24.185539467033315,23.86401245292578,22.32566312154136,21.664420072329015,16.081836672970557,22.872227520998592,28.901439477231175,27.726177374156514,27.353485604355637,26.72498060764787,26.081383535353485,25.450396179208976,25.43081761916785,21.18210974339299,26.10634876756432
Prasat,TH3205,2013,33.25926449666716,31.351363656350276,30.84545493554408,30.11152255037917,29.130933056479208,28.782191173389197,29.350191652512073,26.548825828648596,29.92246841874622,25.416542578923917,24.645666622396014,24.176003063586112,24.018938390680734,23.58149896170902,22.27785793911123,21.637156501581178,16.211223290106563,22.745610918511847,28.730115710094978,27.404176471111306,26.83205053416354,26.394766555614535,25.77284351610608,25.199375629069333,25.244783505728346,21.213843976342073,25.848994487278777
Kap Choeng,TH3206,2013,32.54782614909088,30.547889735605718,30.056637728588587,29.47911775578708,28.636132219667278,28.452643398160326,29.059476647829225,26.45403549007308,29.404219890600274,24.95640819294282,24.277945512504854,23.71206414839447,23.608867739391016,23.246243577951734,22.1112525884288,21.558915533809277,16.358362579473827,22.478757484112105,28.16581895362251,26.83521277129949,26.230534573793058,25.868739818984775,25.34303194520491,24.90801196662429,25.019131839561467,21.19718815048843,25.445958752447364
Rattanaburi,TH3207,2013,32.97530684452228,31.45085371738168,31.18629776052167,30.442476938613588,29.360781427111803,29.2458119179789,29.887892283038003,26.693112139750372,30.155316628614784,25.547823840737834,24.819914091109673,24.612203676550102,24.282999044396835,23.92350290478205,22.33067641565081,21.7567558574764,16.16878582863204,22.930332707416966,28.816409784130705,27.669007503214434,27.32401125699366,26.755053408867944,26.09822564617073,25.491648833936143,25.511303242079155,21.09138367600561,26.0946304189248
Sanom,TH3208,2013,33.084813692436136,31.570105025479947,31.27589439684665,30.451541054424663,29.303568537889355,29.188680019772534,29.725423816242078,26.652118498977455,30.156518130258604,25.533974551310607,24.810534224608677,24.539328750115253,24.21148524326563,23.89084410315772,22.32001733695514,21.705143125640983,16.134254982594364,22.89319778970605,28.821663700655176,27.681020663738746,27.30982292572894,26.697966542239293,26.06559266809636,25.45123902398696,25.427011597332378,21.13107578274943,26.073174113065917
Sikhoraphum,TH3209,2013,33.181261248511504,31.655136432603676,31.222012866702755,30.352513281137263,29.210193631879694,29.012842816476947,29.54209755928604,26.618842984157098,30.099362602594372,25.466460725873898,24.78722338442747,24.38955423826436,24.08649391563913,23.75643997290273,22.236314769937742,21.593058199707556,16.113273695092538,22.80360236273068,28.78913698918338,27.63216977821387,27.16727886491986,26.549005216014955,25.928284968421135,25.307543204055275,25.292075251333852,21.122825040231255,25.973539914046693
Sangkha,TH3210,2013,32.70255307486948,30.87974775070001,30.38719419634268,29.77097360894182,28.780515800266116,28.575273793123653,29.18470592336757,26.543918702213126,29.603110356228058,25.14180421301027,24.521973063254762,23.947649216595234,23.805088464475784,23.427189625083233,22.03246541672974,21.46190570620022,16.18511485185401,22.565398819650408,28.352554021565957,27.10114799663267,26.520850516883247,26.103304939062646,25.535030128262132,24.994986432065048,25.063982849324187,21.136186885019825,25.60100547110197
Lamduan,TH3211,2013,33.004681550811185,31.412545162320498,30.85417647945917,30.144441254661995,29.090452243120268,28.745843205900297,29.335211143602354,26.561106088905877,29.893557141097702,25.38508988187526,24.734342921765123,24.22877318553438,24.03695437113446,23.635396059693797,22.15208471249314,21.506276507255382,16.09581805900933,22.721841962345106,28.64867205896045,27.459590483119367,26.902763088476306,26.411947968927688,25.805270101360694,25.1676777728263,25.193461934023574,21.112010594318942,25.837674250251663
Samrong Thap,TH3212,2013,33.30395083697748,31.743153870078736,31.367838981092138,30.426540048646846,29.29886056895702,29.154278382800896,29.759589857417193,26.771206850202265,30.228177424521572,25.608122892660916,24.90293149710245,24.552914904466856,24.19947662786024,23.882290260159262,22.32299097022234,21.76370591057674,16.27492610600151,22.93841989613129,28.953599946533146,27.752366380266253,27.31833925254403,26.656159474177535,26.041572369253313,25.433359810302253,25.45031378393543,21.235836721595607,26.105193467325943
Buachet,TH3213,2013,32.5603620386948,30.5800010089639,30.15845627471549,29.599180148654533,28.609142523118027,28.53586963870204,29.16418013433764,26.570885223189226,29.472259623796955,24.99135232883031,24.411263226544435,23.79480092291186,23.674273810492643,23.332057285638523,21.933697165406798,21.381928069691618,16.146966174422808,22.458292372992375,28.185086190243332,26.902777368710385,26.31322815920985,25.936409539462133,25.384087736969644,24.912557886100128,24.994358406883226,21.135397779815182,25.470487883424237
